tipo_inmueble,finalidad,estado_inmueble,Ciudad,ubicacion_asociada,area m²,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error,latitud,longitud
Apartamento,venta,Usado,Duitama,Colombia,500,7,7,5840000000,5,8,,", Alarma Contra Incendio, , Baño Auxiliar, , Circuito cerrado de TV, , Closet, , Cocina Equipada, , Comedor, , Piso de alta resistencia, , Piso en Madera, , Planta Eléctrica, , Puerta de seguridad, , Restaurantes, , Rociadores de agua",Hermoso apartamento PENTHOUSE  vista panorámica-  Terraza de 230m2  vias de acceso cra 7- calle 134- Calle 140- Av 9,,192272814,Tu Lugar Ideal,https://www.fincaraiz.com.co/apartamento-en-venta-en-bella-suiza-duitama/192272814,,,5.8363860,-73.0397424
Lote,venta,Usado,Duitama,San Lorenzo de Arriba,98485,0,0,15000000000,6,0,,", Cerca a sector comercial, , Industrial, , Lote Vacio, , Servicios Públicos, , Vista panorámica, , Área Rural, Descripción, Vendo espectacular lote en Duitama 98.485 mt2. Valor m2 $ 152.307 Super precio $15.000 MLLS, NEGOCIABLES, excelente ubicación cerca a la ciudadela industrial, terreno plano. Ideal para paneles solares, centros comerciales, bodegas, locales, fábricas, centro de acopio, bodegas, agricultura, etc. Uso principal Industrial Tipo II y III Servicios Comercio Mayoritario Agroindustriales. Uso complementario Comercial Tipo I, II y III. Uso compatible Institucional, Código Fincaraíz:, 191712645, Consultar, Patricia Perez, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Vendo espectacular lote en Duitama 98.485 mt2. Valor m2 $ 152.307 Super precio $15.000 MLLS, NEGOCIABLES, excelente ubicación cerca a la ciudadela industrial, terreno plano. Ideal para paneles solares, centros comerciales, bodegas, locales, fábricas, centro de acopio, bodegas, agricultura, etc. Uso principal Industrial Tipo II y III Servicios Comercio Mayoritario Agroindustriales. Uso complementario Comercial Tipo I, II y III. Uso compatible Institucional",,191712645,Patricia Perez,https://www.fincaraiz.com.co/lote-en-venta/191712645,,,,
Finca,venta,Usado,Duitama,Salesiano,22,0,0,240000000,3,8,2,", Ascensor, , En centro Comercial, , En Edificio, , En zona Comercial, , Local Interior, , Parqueadero Visitantes, , Parques cercanos, , Pasaje Comercial, , Sobre vía principal, , Vigilancia 24x7, , Zona Comercial, , Zona Residencial, Descripción, En el corazón de la ciudad de Duitama, Boyacá, se encuentra un atractivo local comercial disponible para su venta. Este local, ubicado en un centro comercial, ofrece una excelente oportunidad de inversión para aquellos interesados en establecer o expandir su negocio en una zona comercial dinámica.","En el corazón de la ciudad de Duitama, Boyacá, se encuentra un atractivo local comercial disponible para su venta. Este local, ubicado en un centro comercial, ofrece una excelente oportunidad de inversión para aquellos interesados en establecer o expandir su negocio en una zona comercial dinámica.",,192171410,BELLAVISTA INMOBILIARIA,https://www.fincaraiz.com.co/local-en-venta/192171410,,,5.8339767,-73.0355312
Finca,venta,Usado,Duitama,Centro,143,0,0,500000000,4,15,,", Ascensor, , Circuito cerrado de TV, , En centro Comercial, , Parqueadero Visitantes, , Vigilancia privada 24*7, , Zona Comercial, , Zona Residencial, Descripción, Local de 143 m2 con terraza, ubicado en el centro comercial In-novo Plaza, en Duitama, que es uno de los centros comerciales más grandes de la región, es punto de entretenimiento con oferta de locales comerciales y oficinas. Hace parte de un gran proyecto urbano de vivienda, comercio, hotelería y turismo., Con una excelente vista, por estar ubicado en el tercer piso del centro comercial, es tranquilo, con excelente ventilación e iluminado, Tiene bastantes opciones de uso: Centro medico, Spa, laboratorio, centro veterinario, oficinas, gimnasio, Restaurante, bar, etc, Código Fincaraíz:, 191795389, Consultar, Remax Conecta, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","Local de 143 m2 con terraza, ubicado en el centro comercial In-novo Plaza, en Duitama, que es uno de los centros comerciales más grandes de la región, es punto de entretenimiento con oferta de locales comerciales y oficinas. Hace parte de un gran proyecto urbano de vivienda, comercio, hotelería y turismo.",,191795389,Remax Conecta,https://www.fincaraiz.com.co/local-en-venta/191795389,,,5.8287115,-73.0345931
Lote,venta,Usado,Duitama,Los Alpes,12950,0,0,10000400600,3,0,,", Acceso Pavimentado, , Colegios / Universidades, , Sobre vía principal, , Trans. Público cercano, , Zona Industrial, , Zona Residencial, , Zonas Verdes, Descripción, La propiedad es un lote esquinero, cuenta con tres frentes en vías urbanas, entre las, cuales se encuentra la transversal 20. La topografía de la propiedad es típica del, sector y es apta para un desarrollo residencial. La misma cuenta con servicios, disponibles para su uso, tiene una topografía en términos generales plana y no se, encuentra en zona de inundación., Código Fincaraíz:, 191432920, Consultar, 3M Grupo Innmobiliario, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","La propiedad es un lote esquinero, cuenta con tres frentes en vías urbanas, entre las",,191432920,3M Grupo Innmobiliario,https://www.fincaraiz.com.co/lote-en-venta/191432920,,,5.8183771,-73.0242793
Apartamento,venta,Usado,Duitama,San Juan Bosco,97,3,2,307000000,3,8,3 Habs.,", Balcón, , Barra estilo americano, , Baño Auxiliar, , Baño Independiente, , Calentador, , Citófono, , Cocina tipo Americano, , Depósito / Bodega, , Despensa, , Estudio, , Hall de Alcobas, , Instalación de gas","Vendo hermoso apartamento en Duitama Boyacá, sector universidad UPTC, cerca del pueblito Boyacense, Excelente ubicación, esquinero, muy tranquilo, parque infantil, puerta de parqueadero con contro remoto, depósito, ascensor, muy iluminado. tres habitaciones, dos baños, cocina integral tipo americano, pisos laminados, calentador a gas para todos los grifos y duchas, balcón en sala y en alcoba principal, estudio, conexión para chimenea a gas, zona de lavandería. Gran oportunidad. Un año de construido.",,191432777,3M Grupo Innmobiliario,https://www.fincaraiz.com.co/apartamento-en-venta/191432777,,,5.8253862,-73.0238895
Finca,venta,Usado,Duitama,San Lorenzo de Arriba,50,0,0,1650000000,1,8,,", Acceso Pavimentado, , Asador, , Cancha de Futbol, , Cancha de Tennis, , Cerca de Zona Urbana, , Cochera, , Colegios / Universidades, , Garaje(s), , Parqueadero Visitantes, , Zona Campestre, Descripción, Esta propiedad con destinación deportiva actual, cuenta con las condiciones perfectas para convertirse en tu próximo proyecto de vivienda, cultivos, pastoreo, o incluso un complejo turístico deportivo. ¡Las posibilidades son infinitas!","Esta propiedad con destinación deportiva actual, cuenta con las condiciones perfectas para convertirse en tu próximo proyecto de vivienda, cultivos, pastoreo, o incluso un complejo turístico deportivo. ¡Las posibilidades son infinitas!",,191626145,Remax Planet,https://www.fincaraiz.com.co/finca-en-venta/191626145,,,,
Casa,venta,Usado,Duitama,Centro,289,5,2,850000000,2,15,,", Baño Auxiliar, , Calentador, , Cerca a sector comercial, , Closet, , Cocina Integral, , Colegios / Universidades, , Piso en Baldosa /  Mármol, , Piso en Madera, , Seguridad, , Supermercados / C.Comerciales, , Todos los Servicios, , Trans. Público cercano","Casa lote con buenos espacios e iluminación ,tiene a su alrededor hermoso paisajes ,finca queda en la vereda Puente de Piedra municipio de Ventaquemada Boyaca y cuenta con tres acueductos veredales, tiene gas domicilio, una casa grande en perfecto estado una vía carreteable, en la parte baja pasa un riachuelo, apta para la siembra de papa, zanahoria, remolacha, maíz, cuenta con tres reservorios para riego.gran oportunidad agende su cita 90-70225",,191296164,Inmobiliare Julio Corredor,https://www.fincaraiz.com.co/casa-en-venta/191296164,,,5.8287115,-73.0345931
Casa,venta,Usado,Duitama,Surba,232,4,4,450000000,4,1,,", Calentador, , Citófono, , Closet, , Cocina Integral, , Piso de alta resistencia, , Tanques de Agua, , Vista panorámica, , Zona de BBQ, , Zona Residencial, Descripción, ¡Descubre el proyecto de viviendas nuevas que cambiará tu vida! Atos Inmobiliaria te presenta este exclusivo proyecto ubicado en la localidad de Surba y Bonza, en la ciudad de Duitama. Consta de 5 casas de dos niveles cada una, de las cuales tenemos disponibles para la venta dos espectaculares viviendas. ¡No te quedes sin la tuya!  El conjunto residencial contará con comodidades que te brindarán tranquilidad y seguridad, como portón automático, sistema de cámaras y vigilancia. Además, disfrutarás de un acceso limpio con vías adoquinadas y andenes, y un cerramiento sólido para tu privacidad.  Las casas en venta son verdaderos hogares de ensueño, con 4 habitaciones espaciosas, 4 baños modernos, sala acogedora, comedor elegante, cocina integral equipada, zona de ropas, estudio para trabajar desde casa, BBQ para tus reuniones al aire libre y garaje para tus vehículos.  No pierdas la oportunidad de ser parte de este increíble proyecto. ¡Contáctanos y conoce más sobre estas magníficas casas!, Código Fincaraíz:, 191273668, Consultar, ATOS Inmobiliaria SAS, Completa tus datos para habilitar los medios de contacto, +57, Aceptas nuestros","¡Descubre el proyecto de viviendas nuevas que cambiará tu vida! Atos Inmobiliaria te presenta este exclusivo proyecto ubicado en la localidad de Surba y Bonza, en la ciudad de Duitama. Consta de 5 casas de dos niveles cada una, de las cuales tenemos disponibles para la venta dos espectaculares viviendas. ¡No te quedes sin la tuya!  El conjunto residencial contará con comodidades que te brindarán tranquilidad y seguridad, como portón automático, sistema de cámaras y vigilancia. Además, disfrutarás de un acceso limpio con vías adoquinadas y andenes, y un cerramiento sólido para tu privacidad.  Las casas en venta son verdaderos hogares de ensueño, con 4 habitaciones espaciosas, 4 baños modernos, sala acogedora, comedor elegante, cocina integral equipada, zona de ropas, estudio para trabajar desde casa, BBQ para tus reuniones al aire libre y garaje para tus vehículos.  No pierdas la oportunidad de ser parte de este increíble proyecto. ¡Contáctanos y conoce más sobre estas magníficas casas!",,191273668,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta/191273668,,,5.8413134,-73.0782305
Casa,venta,Usado,Duitama,La Esperanza,144,5,3,295000000,3,30,,", Acceso Pavimentado, , Balcón, , Baño Auxiliar, , Baño Independiente, , Cerca de Zona Urbana, , Chimenea, , Depósito / Bodega, , Estudio, , Garaje(s), , Hall de Alcobas, , Instalación de gas, , Parques cercanos","Código: 899FR1168 Excelente oportunidad de adquirir casa en la ciudad de Duitama con fácil acceso de transporte público; a pocas cuadras del terminal de transportes, a cuatrocientos metros del Hospital Simon Bolivar, a seiscientos metros de la clinica Boyaca, cerca al colegio Simon Bolivar, Postobón, avenida principal y parques, la casa consta de cinco alcobas con closet, la habitación principal con sala de estar, balcón, vestier y baño privado con jacuzzi, dos baños sociales, cocina integral, sala-comedor, chimenea, amplio patio de ropa, depósito y garaje.",,192265212,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-duitama/192265212,,,5.8099506,-73.0280835
