tipo_inmueble,finalidad,estado_inmueble,ubicacion_principal,ubicacion_asociada,area,habitaciones,baños,precio,estrato,antigüedad,administración,comodidades,descripcion,contacto,codigo,vendedor,link_venta,link_image,error
Lote,venta,Usado,"Tunja, Boyaca","Tunja, Cr. la reserva campestre",478.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$717.000.000,4,menor a 1 año,,", Trans. Público cercano, , Vista panorámica, , Zona Residencial, , Área Urbana, Descripción, Atos Inmobiliaria pone a la venta un lote de terreno esquinero con una superficie de 478 m², ideal para múltiples usos comerciales, de servicios e institucionales. Este lote se encuentra ubicado en un proyecto urbanístico en trámite sobre la avenida Universitaria, lo que ofrece la oportunidad de desarrollar construcciones destinadas a servicios de salud, como clínicas, y una variedad de actividades comerciales.","Atos Inmobiliaria pone a la venta un lote de terreno esquinero con una superficie de 478 m², ideal para múltiples usos comerciales, de servicios e institucionales. Este lote se encuentra ubicado en un proyecto urbanístico en trámite sobre la avenida Universitaria, lo que ofrece la oportunidad de desarrollar construcciones destinadas a servicios de salud, como clínicas, y una variedad de actividades comerciales.",,191273028,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191273028,,
Apartamento,venta,Usado,"Tunja, Boyaca","Tunja, Salvial, San rafael",60.00  m2 m²,2,2,$200.000.000,4,16 a 30 años,,,"**Venta de Apartamento en el Norte de la Ciudad, Cerca del Centro Comercial Centro Norte**",Código Fincaraíz:,191273591,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/apartamento-en-venta/191273591,,
Casa,venta,Usado,"Usaquen, Tunja, Boyaca","Tunja, El consuelo",300.00  m2 m²,7,6,$1.850.000.000,6,más de 30 años,,", Acceso Pavimentado, , Asador, , Balcón, , Barra estilo americano, , Baño Auxiliar, , Baño Independiente, , Comedor auxiliar, , Cuarto de servicio, , Depósito / Bodega, , Despensa, , Estudio, , Garaje(s)","Venta -permuta casa en santa barbara oriental a una cuadra arriba de la CRA 9 , dos niveles. Cuenta en primer piso con zona de garajes ,un apartaestudio independiente de la casa . Estudio ,baño social ,sala comedor,cocina ,zona de ropas ,patio y espacio para taller y depósito. Segúndo piso: 6 habitaciones ( tres con baño privado) ,un baño de alcobas y altillo. Se recibe casa en clima cálido y carro de alta gama.",,10466523,MORE PLUS SAS,https://www.fincaraiz.com.co/casa-en-venta/10466523,,
Finca,venta,Usado,"Tunja, Boyaca","Tunja, Centro historico",29.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$110.000.000,Sin Definir,1 a 8 años,29,", Acceso Pavimentado, , Alarma, , Asador, , Ascensor, , Baño Auxiliar, , Cerca de Zona Urbana, , Piso en Baldosa /  Mármol, , Supermercados / C.Comerciales, , Terraza, , Trans. Público cercano, , Vigilancia, , Vista panorámica",Inversión Rentable en el Centro de Tunja ??,,11010743,INMOBILIARIA LOS LANCEROS,https://www.fincaraiz.com.co/local-en-venta/11010743,,
Finca,venta,Usado,"Tunja, Tunja, Boyaca","Tunja, Jose joaquin camacho",53.00  m2 m²,1,1,$260.000.000,4,16 a 30 años,,", Ascensor, , Baños comunales, , Cerca centro comercial, , Cocineta, , Cómodas vias de acceso, , Escaleras eléctricas, , Piso en Madera, , Servicios Públicos, , Sobre vía principal, , Terraza, , Trans. Público cercano, , Ubicada en edificio",Amplia Oficina Ubicada En El Piso Tres Del Centro Comercial Centro Norte,,10203589,ENTORNO URBANO,https://www.fincaraiz.com.co/oficina-en-venta/10203589,,
Lote,venta,Usado,"Tunja, Boyaca","Tunja, Pirgua","33,000.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$8.250.000.000,1,menor a 1 año,,,"Atos Inmobiliaria vende un lote de gran magnitud en el nororiente de la ciudad de Tunja, ubicado sobre la doble calzada Briceño-Tunja-Sogamoso. Este lote cuenta con un área de 33,000 m² y está destinado a usos de alto impacto, dotacional, industrial y comercial.",Código Fincaraíz:,191272916,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/lote-en-venta/191272916,,
Finca,venta,Usado,"Motavita, Boyaca","Salvial, Tunja, Pirgua",188.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$1.300.000.000,7,¡Pregúntale!,,,"Esta finca es una oportunidad única que combina un excelente potencial tanto residencial como comercial, de acuerdo con el uso de suelo permitido. Su ubicación estratégica y sus características versátiles la convierten en el lugar ideal para desarrollar proyectos turísticos, residenciales o incluso empresariales.",,191772617,URBANOS Y RURALES SAS,https://www.fincaraiz.com.co/finca-en-venta/191772617,,
Apartamento,venta,Usado,"Tunja, Boyaca","Maldonado, Mesopotamia, Tunja",107.00  m2 m²,3,2,$550.000.000,4,1 a 8 años,3 Habs.,", Ascensor, , Balcón, , Baño Auxiliar, , Calentador, , Citófono, , Cocina Integral, , Loft, , Parques cercanos, , Portería / Recepción, , Salón Comunal, , Sobre vía principal, , Supermercados / C.Comerciales","INMOBILIARIA 2 MIL VENDE APARTAMENTO, Ubicado en el sector de la Universidad de Boyacá. Área: 107 mts2 + 2 parqueaderos + bodega. consta de sala, comedor, cocina integral, zona de lavandería independiente, 2 baños y 3 habitaciones. VALOR: 550.000.000",,192272842,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192272842,,
Lote,venta,Usado,"Tunja, Boyaca",Tunja,"3,138.00  m2 m²",¡Pregúntale!,¡Pregúntale!,$5.300.000.000,5,9 a 15 años,,,"Descubre la oportunidad única de adquirir un lote en uno de los sectores más exclusivos de Tunja, en la ciudad más segura de Colombia. Este lote plano se encuentra estratégicamente ubicado cerca de la Av. Universitaria, rodeado de condominios de alta categoría y a tan solo 200 metros de Unicentro, Compensar y el centro comercial Viva. No pierdas la oportunidad de construir el proyecto de tus sueños en este privilegiado entorno. ¡Llámame para más información!",,191193103,GRUPO EMPRESARIAL KASA MODERNA SAS,https://www.fincaraiz.com.co/lote-en-venta/191193103,,
Finca,venta,Usado,"Tunja, Boyaca","Tunja, Centro historico",22.00  m2 m²,¡Pregúntale!,¡Pregúntale!,$150.000.000,3,9 a 15 años,,,"Se vende oficina en zona centro de la ciudad de Tunja, cuenta con baño y espacio libre de 22 m2. Zona cerca al centro de la ciudad.",,191273871,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/oficina-en-venta/191273871,,
